number_of_downloads,total_size_GB,project_name
655,1426.94,C3S-CMIP5-ADJUST
363,5140.50,C3SE
15540,1882.32,CC4E
32,.13,CDAT-SAMPLE
1207,349.31,CLIPC
82341,18258.19,CMIP3
23652082,3540121.99,CMIP5
244807031,43544756.47,CMIP6
5925,104297.63,CMIP6-ADJUST
9294385,3336097.33,CORDEX
299741,228515.99,CORDEX-ADJUST
8560,10970.59,CORDEX_ADJUST
371,1.65,CORDEX-ESD
9204,9010.75,CORDEX-FPSCONV
968774,641606.77,CORDEX-REKLIES
416248,252611.61,E3SM
6,5.53,E3SM-SUPPLEMENT
6915,6077.64,EUCLEIA
180,19.56,EUCLIPSE
32010,17315.65,GEOMIP
320383,148062.69,INPUT4MIPS
224,55.86,LUCID
33,5.97,MIKLIP
3602,367.38,MPI-EDRIVEN-LE
220953,261737.44,MPI-GE
15,6.56,NARRHYDROLOGY
19417,170.58,OBS4MIPS
3019,36.61,PALMOD2
95617,11819.77,PMIP3
5,.27,PRIMAVERA
34163,20704.58,REKLIES-INDEX
25919,1781.51,SPECS
320,10.14,TAMIP
11,.00,TEST
9221,10421.16,TRACMIP
1,.00,WIND
